ID,Condition,Trial ,justice,age,participantgender,gender,race,year
24,4,9,10,19,1,1,4,2
24,4,10,10,19,1,1,4,2
24,4,11,10,19,1,1,4,2
24,4,12,10,19,1,1,4,2
24,4,13,10,19,1,1,4,2
24,4,14,4,19,1,1,4,2
24,4,15,1,19,1,1,4,2
24,4,16,10,19,1,1,4,2
24,4,17,1,19,1,1,4,2
24,4,18,1,19,1,1,4,2
24,4,19,4,19,1,1,4,2
25,2,1,9,22,1,1,1,4
25,2,2,9,22,1,1,1,4
25,2,3,9,22,1,1,1,4
25,2,4,9,22,1,1,1,4
25,2,5,9,22,1,1,1,4
25,2,6,8,22,1,1,1,4
25,2,7,4,22,1,1,1,4
25,2,8,3,22,1,1,1,4
25,2,9,4,22,1,1,1,4
25,2,10,2,22,1,1,1,4
25,2,11,1,22,1,1,1,4
25,2,12,2,22,1,1,1,4
25,2,13,5,22,1,1,1,4
25,2,14,5,22,1,1,1,4
25,2,15,4,22,1,1,1,4
25,2,16,4,22,1,1,1,4
25,2,17,4,22,1,1,1,4
25,2,18,4,22,1,1,1,4
25,2,19,6,22,1,1,1,4
26,2,1,10,20,1,1,1,2
26,2,2,10,20,1,1,1,2
26,2,3,10,20,1,1,1,2
26,2,4,10,20,1,1,1,2
26,2,5,10,20,1,1,1,2
26,2,6,9,20,1,1,1,2
26,2,7,3,20,1,1,1,2
26,2,8,1,20,1,1,1,2
26,2,9,5,20,1,1,1,2
26,2,10,5,20,1,1,1,2
26,2,11,1,20,1,1,1,2
26,2,12,5,20,1,1,1,2
26,2,13,5,20,1,1,1,2
26,2,14,5,20,1,1,1,2
26,2,15,5,20,1,1,1,2
26,2,16,8,20,1,1,1,2
26,2,17,8,20,1,1,1,2
26,2,18,9,20,1,1,1,2
26,2,19,7,20,1,1,1,2
27,5,1,10,20,1,1,2,3
27,5,2,10,20,1,1,2,3
27,5,3,10,20,1,1,2,3
27,5,4,10,20,1,1,2,3
27,5,5,10,20,1,1,2,3
27,5,6,10,20,1,1,2,3
27,5,7,10,20,1,1,2,3
27,5,8,10,20,1,1,2,3
27,5,9,10,20,1,1,2,3
27,5,10,10,20,1,1,2,3
27,5,11,10,20,1,1,2,3
27,5,12,10,20,1,1,2,3
27,5,13,10,20,1,1,2,3
27,5,14,10,20,1,1,2,3
27,5,15,10,20,1,1,2,3
27,5,16,10,20,1,1,2,3
27,5,17,10,20,1,1,2,3
27,5,18,10,20,1,1,2,3
27,5,19,10,20,1,1,2,3
28,5,1,5,21,1,1,2,4
28,5,2,10,21,1,1,2,4
28,5,3,6,21,1,1,2,4
28,5,4,6,21,1,1,2,4
28,5,5,8,21,1,1,2,4
28,5,6,9,21,1,1,2,4
28,5,7,8,21,1,1,2,4
28,5,8,10,21,1,1,2,4
28,5,9,10,21,1,1,2,4
28,5,10,10,21,1,1,2,4
28,5,11,10,21,1,1,2,4
28,5,12,10,21,1,1,2,4
28,5,13,10,21,1,1,2,4
28,5,14,10,21,1,1,2,4
28,5,15,10,21,1,1,2,4
28,5,16,10,21,1,1,2,4
28,5,17,10,21,1,1,2,4
28,5,18,8,21,1,1,2,4
28,5,19,7,21,1,1,2,4
29,3,1,8,23,1,1,4,2
29,3,2,9,23,1,1,4,2
29,3,3,9,23,1,1,4,2
29,3,4,9,23,1,1,4,2
29,3,5,10,23,1,1,4,2
29,3,6,7,23,1,1,4,2
29,3,7,9,23,1,1,4,2
29,3,8,8,23,1,1,4,2
29,3,9,3,23,1,1,4,2
29,3,10,3,23,1,1,4,2
29,3,11,4,23,1,1,4,2
29,3,12,5,23,1,1,4,2
29,3,13,8,23,1,1,4,2
29,3,14,9,23,1,1,4,2
29,3,15,10,23,1,1,4,2
29,3,16,9,23,1,1,4,2
29,3,17,10,23,1,1,4,2
29,3,18,9,23,1,1,4,2
29,3,19,8,23,1,1,4,2
30,1,1,3,20,1,1,1,2
30,1,2,1,20,1,1,1,2
30,1,3,4,20,1,1,1,2
30,1,4,1,20,1,1,1,2
30,1,5,1,20,1,1,1,2
30,1,6,7,20,1,1,1,2
30,1,7,10,20,1,1,1,2
30,1,8,10,20,1,1,1,2
30,1,9,10,20,1,1,1,2
30,1,10,10,20,1,1,1,2
30,1,11,10,20,1,1,1,2
30,1,12,10,20,1,1,1,2
30,1,13,5,20,1,1,1,2
30,1,14,6,20,1,1,1,2
30,1,15,6,20,1,1,1,2
30,1,16,5,20,1,1,1,2
30,1,17,6,20,1,1,1,2
30,1,18,6,20,1,1,1,2
30,1,19,5,20,1,1,1,2
31,1,1,7,23,1,1,2,4
31,1,2,1,23,1,1,2,4
31,1,3,10,23,1,1,2,4
31,1,4,3,23,1,1,2,4
31,1,5,1,23,1,1,2,4
31,1,6,3,23,1,1,2,4
31,1,7,10,23,1,1,2,4
31,1,8,10,23,1,1,2,4
31,1,9,10,23,1,1,2,4
31,1,10,10,23,1,1,2,4
31,1,11,10,23,1,1,2,4
31,1,12,10,23,1,1,2,4
31,1,13,10,23,1,1,2,4
31,1,14,10,23,1,1,2,4
31,1,15,10,23,1,1,2,4
31,1,16,10,23,1,1,2,4
31,1,17,10,23,1,1,2,4
31,1,18,10,23,1,1,2,4
31,1,19,7,23,1,1,2,4
32,5,1,6,21,1,1,3,4
32,5,2,10,21,1,1,3,4
32,5,3,10,21,1,1,3,4
32,5,4,7,21,1,1,3,4
32,5,5,7,21,1,1,3,4
32,5,6,1,21,1,1,3,4
32,5,7,1,21,1,1,3,4
32,5,8,1,21,1,1,3,4
32,5,9,4,21,1,1,3,4
32,5,10,5,21,1,1,3,4
32,5,11,5,21,1,1,3,4
32,5,12,4,21,1,1,3,4
32,5,13,7,21,1,1,3,4
32,5,14,5,21,1,1,3,4
32,5,15,4,21,1,1,3,4
32,5,16,3,21,1,1,3,4
32,5,17,5,21,1,1,3,4
32,5,18,6,21,1,1,3,4
32,5,19,7,21,1,1,3,4
33,5,1,10,21,1,1,1,3
33,5,2,10,21,1,1,1,3
33,5,3,10,21,1,1,1,3
33,5,4,10,21,1,1,1,3
33,5,5,10,21,1,1,1,3
33,5,6,10,21,1,1,1,3
33,5,7,10,21,1,1,1,3
33,5,8,10,21,1,1,1,3
33,5,9,10,21,1,1,1,3
33,5,10,10,21,1,1,1,3
33,5,11,10,21,1,1,1,3
33,5,12,10,21,1,1,1,3
33,5,13,10,21,1,1,1,3
33,5,14,10,21,1,1,1,3
33,5,15,10,21,1,1,1,3
33,5,16,10,21,1,1,1,3
33,5,17,10,21,1,1,1,3
33,5,18,10,21,1,1,1,3
33,5,19,10,21,1,1,1,3
34,1,1,4,19,1,1,1,2
34,1,2,2,19,1,1,1,2
34,1,3,3,19,1,1,1,2
34,1,4,3,19,1,1,1,2
34,1,5,2,19,1,1,1,2
34,1,6,4,19,1,1,1,2
34,1,7,5,19,1,1,1,2
34,1,8,3,19,1,1,1,2
34,1,9,5,19,1,1,1,2
34,1,10,5,19,1,1,1,2
34,1,11,6,19,1,1,1,2
34,1,12,7,19,1,1,1,2
34,1,13,10,19,1,1,1,2
34,1,14,10,19,1,1,1,2
34,1,15,10,19,1,1,1,2
34,1,16,10,19,1,1,1,2
34,1,17,10,19,1,1,1,2
34,1,18,10,19,1,1,1,2
34,1,19,5,19,1,1,1,2
35,3,1,7,20,1,1,1,2
35,3,2,8,20,1,1,1,2
35,3,3,8,20,1,1,1,2
35,3,4,9,20,1,1,1,2
35,3,5,9,20,1,1,1,2
35,3,6,9,20,1,1,1,2
35,3,7,6,20,1,1,1,2
35,3,8,6,20,1,1,1,2
35,3,9,5,20,1,1,1,2
35,3,10,6,20,1,1,1,2
35,3,11,1,20,1,1,1,2
35,3,12,1,20,1,1,1,2
35,3,13,10,20,1,1,1,2
35,3,14,10,20,1,1,1,2
35,3,15,10,20,1,1,1,2
35,3,16,10,20,1,1,1,2
35,3,17,10,20,1,1,1,2
35,3,18,10,20,1,1,1,2
35,3,19,9,20,1,1,1,2
36,2,1,8,22,1,1,2,5
36,2,2,8,22,1,1,2,5
36,2,3,8,22,1,1,2,5
36,2,4,8,22,1,1,2,5
36,2,5,9,22,1,1,2,5
36,2,6,8,22,1,1,2,5
36,2,7,4,22,1,1,2,5
36,2,8,3,22,1,1,2,5
36,2,9,5,22,1,1,2,5
36,2,10,4,22,1,1,2,5
36,2,11,3,22,1,1,2,5
36,2,12,6,22,1,1,2,5
36,2,13,10,22,1,1,2,5
36,2,14,10,22,1,1,2,5
36,2,15,10,22,1,1,2,5
36,2,16,10,22,1,1,2,5
36,2,17,10,22,1,1,2,5
36,2,18,10,22,1,1,2,5
36,2,19,8,22,1,1,2,5
37,2,1,8,20,1,1,1,2
37,2,2,9,20,1,1,1,2
37,2,3,9,20,1,1,1,2
37,2,4,10,20,1,1,1,2
37,2,5,9,20,1,1,1,2
37,2,6,9,20,1,1,1,2
37,2,7,3,20,1,1,1,2
37,2,8,1,20,1,1,1,2
37,2,9,2,20,1,1,1,2
37,2,10,1,20,1,1,1,2
37,2,11,1,20,1,1,1,2
37,2,12,2,20,1,1,1,2
37,2,13,7,20,1,1,1,2
37,2,14,9,20,1,1,1,2
37,2,15,9,20,1,1,1,2
37,2,16,8,20,1,1,1,2
37,2,17,6,20,1,1,1,2
37,2,18,6,20,1,1,1,2
37,2,19,7,20,1,1,1,2
38,2,1,7,20,1,1,2,2
38,2,2,8,20,1,1,2,2
38,2,3,6,20,1,1,2,2
38,2,4,4,20,1,1,2,2
38,2,5,8,20,1,1,2,2
38,2,6,6,20,1,1,2,2
38,2,7,2,20,1,1,2,2
38,2,8,1,20,1,1,2,2
38,2,9,4,20,1,1,2,2
38,2,10,4,20,1,1,2,2
38,2,11,1,20,1,1,2,2
38,2,12,1,20,1,1,2,2
38,2,13,6,20,1,1,2,2
38,2,14,7,20,1,1,2,2
38,2,15,7,20,1,1,2,2
38,2,16,9,20,1,1,2,2
38,2,17,9,20,1,1,2,2
38,2,18,7,20,1,1,2,2
38,2,19,6,20,1,1,2,2
39,2,1,10,21,1,1,1,3
39,2,2,10,21,1,1,1,3
39,2,3,9,21,1,1,1,3
39,2,4,9,21,1,1,1,3
39,2,5,10,21,1,1,1,3
39,2,6,7,21,1,1,1,3
39,2,7,1,21,1,1,1,3
39,2,8,1,21,1,1,1,3
39,2,9,1,21,1,1,1,3
39,2,10,1,21,1,1,1,3
39,2,11,1,21,1,1,1,3
39,2,12,2,21,1,1,1,3
39,2,13,5,21,1,1,1,3
39,2,14,6,21,1,1,1,3
39,2,15,7,21,1,1,1,3
39,2,16,7,21,1,1,1,3
39,2,17,10,21,1,1,1,3
39,2,18,10,21,1,1,1,3
39,2,19,9,21,1,1,1,3
40,5,1,9,18,1,1,1,1
40,5,2,9,18,1,1,1,1
40,5,3,9,18,1,1,1,1
40,5,4,9,18,1,1,1,1
40,5,5,9,18,1,1,1,1
40,5,6,9,18,1,1,1,1
40,5,7,9,18,1,1,1,1
40,5,8,9,18,1,1,1,1
40,5,9,9,18,1,1,1,1
40,5,10,9,18,1,1,1,1
40,5,11,9,18,1,1,1,1
40,5,12,9,18,1,1,1,1
40,5,13,9,18,1,1,1,1
40,5,14,9,18,1,1,1,1
40,5,15,9,18,1,1,1,1
40,5,16,9,18,1,1,1,1
40,5,17,9,18,1,1,1,1
40,5,18,9,18,1,1,1,1
40,5,19,10,18,1,1,1,1
41,3,1,6,22,1,1,1,4
41,3,2,4,22,1,1,1,4
41,3,3,7,22,1,1,1,4
41,3,4,7,22,1,1,1,4
41,3,5,4,22,1,1,1,4
41,3,6,7,22,1,1,1,4
41,3,7,4,22,1,1,1,4
41,3,8,1,22,1,1,1,4
41,3,9,1,22,1,1,1,4
41,3,10,1,22,1,1,1,4
41,3,11,3,22,1,1,1,4
41,3,12,4,22,1,1,1,4
41,3,13,9,22,1,1,1,4
